"RGN","name","c"
"E12000001","North East",1608737
"E12000002","North West",4286125
"E12000003","Yorkshire and The Humber",3401032
"E12000004","East Midlands",2765184
"E12000005","West Midlands",3283030
"E12000006","East of England",3602205
"E12000007","London",4852422
"E12000008","South East",5160840
"E12000009","South West",3479195
"N","Northern Ireland",0
"S","Scotland",3589199
"W","Wales",1932624
